0,8604,8604,8631, 5
3,8634,8634,8641, 1
1,8628,8628,8645, 3
2,8633,8633,8650, 3
4,8643,8643,8665, 4
5,8647,8647,8669, 4
6,8652,8660,8677, 3
7,8664,8664,8681, 3
10,8678,8678,8695, 3
8,8667,8675,8697, 4
12,8683,8683,8705, 4
11,8679,8679,8706, 5
16,8699,8699,8706, 1
9,8671,8684,8706, 4
14,8696,8696,8718, 4
15,8697,8697,8719, 4
13,8696,8696,8723, 5
18,8708,8708,8725, 3
17,8707,8715,8727, 2
19,8720,8720,8732, 2
22,8729,8729,8746, 3
21,8725,8725,8747, 4
23,8732,8732,8749, 3
20,8721,8729,8751, 4
24,8734,8742,8759, 3
26,8751,8751,8763, 2
27,8753,8753,8770, 3
30,8764,8764,8781, 3
29,8761,8761,8783, 4
31,8765,8773,8785, 2
25,8749,8757,8789, 6
28,8758,8758,8790, 6
32,8783,8783,8795, 2
34,8787,8787,8804, 3
33,8784,8784,8806, 4
36,8790,8793,8812, 3
35,8790,8790,8812, 4
39,8794,8794,8816, 4
40,8797,8805,8817, 2
37,8791,8791,8818, 5
38,8792,8792,8819, 5
42,8808,8808,8820, 2
43,8814,8814,8827, 2
45,8818,8818,8830, 2
41,8798,8798,8835, 7
44,8814,8814,8841, 5
47,8821,8829,8842, 2
46,8819,8819,8845, 3
51,8837,8837,8849, 2
49,8829,8847,8859, 2
48,8822,8838,8866, 5
50,8832,8856,8874, 3
53,8844,8844,8876, 6
55,8861,8861,8878, 3
52,8843,8865,8878, 2
56,8868,8868,8890, 4
57,8876,8876,8898, 4
58,8880,8880,8902, 4
54,8851,8874,8906, 6
59,8908,8908,8945, 7
60,12942,12942,12959, 3
62,12961,12962,12969, 1
61,12961,12961,12973, 2
63,12961,12967,12979, 2
65,12961,12973,12985, 2
64,12961,12968,12990, 4
78,12981,12981,12993, 2
66,12961,12974,12994, 3
67,12961,12979,13001, 4
69,12961,12985,13002, 3
80,12992,12992,13004, 2
77,12975,12983,13006, 4
79,12987,12987,13012, 4
70,12961,12991,13013, 4
68,12961,12983,13014, 5
82,13003,13003,13016, 2
81,12996,12996,13022, 3
84,13008,13008,13025, 3
73,12961,13003,13025, 4
71,12961,12993,13028, 5
72,12961,12997,13029, 6
83,13004,13004,13031, 5
86,13016,13016,13033, 3
74,12961,13007,13034, 5
76,12971,13013,13039, 3
85,13015,13015,13041, 4
75,12961,13009,13043, 6
88,13030,13030,13047, 3
89,13031,13031,13053, 4
